Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
Lonquimay;9;36,1;346364,8125;13,89999962;5,014242649;17,10090065;5,923345089;21,1382122;9,059233665
Los Sauces;9;31,5;333556,5625;15,19999981;5,866346836;14,04889965;1,451905608;28,31216049;10,70780373
Lumaco;9;31;320850,7188;13,60000038;5,525179863;5,931200027;2,233902693;32,72010422;12,08935642
Purén;9;24,6;344728,5625;12,19999981;6,032429695;11,50220013;1,893939376;23,39015198;12,310606
Renaico;9;25,2;395338,125;16,29999924;6,442184925;7,126599789;1,06382978;30,49645424;9,456264496
Traiguén;9;32,7;352310,125;15,5;6,698845387;10,01939964;1,05393672;29,63422203;12,52324867
Victoria;9;23,9;388624,6563;13,69999981;6,11810112;6,368500233;3,17957902;25,83967781;13,39005852
Puerto Montt;10;14,1;491874,5938;16,79999924;4,735764027;10,93690014;2,673395634;28,37754822;12,19395733
Calbuco;10;14,7;392234,25;14,30000019;4,252500057;7,466100216;1,736357212;24,20269394;12,86321735
Cochamó;10;17,7;406573,3125;8,300000191;3,502005816;5,76210022;1,550387621;19,37984467;8,914729118
Fresia;10;9,4;340969,75;12;5,661474228;11,15110016;1,739130378;26,41304398;12,93478298
Frutillar;10;15,8;388395,9375;14;4,044733047;5,612199783;2,238209486;28,77697754;9,432454109
Los Muermos;10;15,8;358550,9063;12,30000019;5,156049252;8,873900414;2,775441647;22,70815849;10,17661858
Llanquihue;10;12,5;408531,8438;12,89999962;5,2441082;6,126100063;1,940928221;26,24472618;13,33333302
Maullín;10;17;382084,625;12,10000038;5,392786026;8,134300232;2,494577169;29,3926239;14,20824337
Puerto Varas;10;8,1;561921,5;19,20000076;4,291759968;5,552899837;2,052785873;27,07722473;11,58357811
Castro;10;15,9;458244,3438;13,69999981;4,703114033;9,874899864;1,3468014;31,81818199;11,38047123
Ancud;10;15,4;395358,4688;13,89999962;4,829563141;6,176700115;1,369394064;24,20404053;10,09928131
Chonchi;10;9,5;387913;12,60000038;5,080415249;5,170300007;2,109704733;30,4852314;18,98734093
Curaco De Vélez;10;12,8;376434,0938;12;4,702067852;7,372300148;0,334448159;27,09030151;11,03678894
Dalcahue;10;9;364251,4063;13,60000038;4,149180889;9,322699547;1,005484462;30,89579582;16,8190136
Puqueldón;10;7,8;397701,5938;9,100000381;7,131414413;3,80979991;2,928870201;26,77824211;17,99163246
Queilén;10;14,2;358880,5;10,69999981;5,433397293;2,770200014;2,758620739;30;17,24137878
Quellón;10;11,4;441189,6875;12,39999962;4,757818699;8,982299805;1,742574215;25,06930733;12,51485157
Quemchi;10;5,8;416066,6563;10,89999962;4,491876125;13,17080021;1,690140963;26,4788723;12,11267567
Quinchao;10;14,9;411696,3438;13;5,929913998;13,98799992;1,762114525;29,07489014;16,29955864
Osorno;10;20,1;445024,6875;15,89999962;4,965441704;9,016699791;2,356349707;28,17962265;13,48141003
Puerto Octay;10;10,3;365278,4375;11,60000038;3,854775906;7,772900105;1,397515535;29,65838432;13,04347801
Purranque;10;22,4;359966,5625;11,5;4,932108879;9,240699768;4,927726746;21,22207642;8,278580666
Puyehue;10;10,4;358606,0938;12;4,65267086;8,404600143;0,657894731;23,68420982;9,978070259
Río Negro;10;11;353303,5;12,19999981;5,028388977;11,5770998;2,763018131;25,7173214;9,776833534
San Juan De La Costa;10;15,6;333136,125;12;4,444507122;13,19019985;1,315789461;39,4736824;13,98026276
San Pablo;10;19,5;346908,75;15,10000038;4,400443077;8,589099884;1,56657958;27,28459549;12,01044369
Chaitén;10;15,22;432944,625;5,800000191;2,675566196;5,776400089;0;26,42486954;18,6528492
Futaleufú;10;17,26;365230,3125;11,5;2,399554968;4,966100216;0;13,02816868;0,704225361
Hualaihué;10;17,7;400404,6563;14,60000038;3,556416035;4,377299786;2,729528427;24,31761742;15,38461494
